time,open,close,high,low,volume
2013-05-19 15:00:00,3.1491,3.1491,3.1491,3.1491,10.0
2013-05-19 16:00:00,3.1491,3.1491,3.1491,3.1491,2.0
2013-05-22 11:00:00,2.99,2.99,2.99,2.99,15.0
2013-05-22 19:00:00,3.13,2.99,3.13,2.99,0.2
2013-05-23 16:00:00,3.13,3.3,3.3,3.13,200.0
2013-05-23 18:00:00,3.3,3.3,3.3,3.3,2.36363636
2013-05-23 23:00:00,3.05,3.05,3.05,3.05,3.2
2013-05-24 04:00:00,3.04,3.04,3.04,3.04,0.4
2013-05-24 07:00:00,3.04,3.05,3.05,3.04,1.1
2013-05-24 10:00:00,3.09,3.05,3.09,3.0,1.2000000000000002
2013-05-24 11:00:00,3.0,3.0,3.0,3.0,52.28
2013-05-24 12:00:00,3.05,3.05,3.05,3.05,1.0
2013-05-24 13:00:00,3.05,3.09,3.09,3.05,100.0
2013-05-24 15:00:00,3.03,3.03,3.03,3.03,1.0
2013-05-24 16:00:00,3.03,3.05,3.05,3.0,67.432
2013-05-24 17:00:00,3.05,2.99,3.05,2.99,147.398
2013-05-24 18:00:00,2.99,2.99,2.99,2.99,280.0
2013-05-24 20:00:00,3.05,3.05,3.05,3.05,1.0
2013-05-25 02:00:00,3.05,3.05,3.05,3.05,0.37095619999999996
2013-05-25 11:00:00,3.05,3.29,3.29,3.05,237.95
2013-05-25 12:00:00,2.89,3.0,3.0,2.88,84.1
2013-05-25 13:00:00,3.0,3.0,3.0,3.0,1.0
2013-05-25 14:00:00,3.0,3.0,3.0,3.0,10.0
2013-05-25 16:00:00,3.0,3.0,3.0,3.0,0.7489
2013-05-25 17:00:00,2.9001,2.88,2.9001,2.88,9.48
2013-05-25 22:00:00,3.05,3.05,3.05,3.05,1.0
2013-05-26 01:00:00,3.05,3.05,3.05,3.05,1.0
2013-05-26 04:00:00,3.05,3.05,3.05,3.05,0.35
2013-05-26 05:00:00,3.05,3.3,3.3,3.05,314.63636363999996
2013-05-26 13:00:00,3.29,3.29,3.29,3.29,0.19
2013-05-26 14:00:00,3.15,3.15,3.15,3.15,0.75
2013-05-26 17:00:00,3.03,3.01,3.03,3.01,237.9
2013-05-26 19:00:00,3.2699,3.15,3.2699,3.15,3.1
2013-05-26 20:00:00,3.15,3.15,3.15,3.15,1.45396825
2013-05-27 00:00:00,3.15,3.15,3.15,3.15,0.39
2013-05-27 02:00:00,3.15,3.15,3.15,3.15,1.0
2013-05-27 21:00:00,3.15,3.15,3.15,3.15,6.0
2013-05-28 00:00:00,3.15,3.15,3.15,3.15,0.35
2013-05-28 10:00:00,3.06,3.01,3.06,3.01,94.1
2013-05-28 19:00:00,3.04,3.04,3.04,3.04,1.1
2013-05-28 22:00:00,2.99,3.05,3.05,2.99,19.4024107
2013-05-28 23:00:00,3.05,3.05,3.05,3.05,26.1
2013-05-29 00:00:00,3.05,3.05,3.05,3.05,0.38
